pet_id,customer_id,pet_type,pet_breed,pet_age,pet_age_group,primary_clinic
P004937,CU04005,Perro,Boston Terrier,8,Adulto,C028
P004938,CU16796,Perro,Beagle,9,Senior,C003
P004939,CU06644,Gato,Bengalí,1,Joven,C012
P004940,CU15719,Perro,Dachshund,7,Adulto,C029
P004941,CU08299,Exótico,Chinchilla,3,Adulto,C033
P004942,CU04091,Gato,Ragdoll,6,Adulto,C025
P004943,CU14601,Perro,Dachshund,3,Adulto,C026
P004944,CU14666,Perro,Pastor Australiano,2,Joven,C032
P004945,CU16472,Perro,Rottweiler,8,Adulto,C015
P004946,CU03239,Perro,Dachshund,3,Adulto,C050
P004947,CU01837,Gato,Gato Doméstico de Pelo Corto,4,Adulto,C049
P004948,CU07958,Gato,Ragdoll,5,Adulto,C020
P004949,CU07936,Perro,Maltés,9,Senior,C024
P004950,CU17219,Exótico,Erizo,7,Adulto,C030
P004951,CU14959,Perro,Beagle,8,Adulto,C049
P004952,CU11773,Exótico,Gecko,4,Adulto,C044
P004953,CU04627,Exótico,Hámster,5,Adulto,C038
P004954,CU09050,Gato,Ragdoll,10,Senior,C020
P004955,CU13516,Perro,Caniche,12,Senior,C036
P004956,CU00779,Exótico,Cobaya,4,Adulto,C023
P004957,CU05151,Perro,Golden Retriever,8,Adulto,C007
P004958,CU02627,Perro,Gran Danés,1,Joven,C016
P004959,CU10274,Perro,Boston Terrier,0,Joven,C042
P004960,CU15907,Perro,Boyero de Berna,3,Adulto,C020
P004961,CU03381,Perro,Chihuahua,1,Joven,C035
P004962,CU13377,Exótico,Erizo,5,Adulto,C018
P004963,CU06813,Perro,Caniche,4,Adulto,C013
P004964,CU13882,Perro,Bulldog Francés,3,Adulto,C025
P004965,CU08738,Perro,Maltés,0,Joven,C026
P004966,CU10063,Perro,Chihuahua,5,Adulto,C048
P004967,CU09948,Gato,British Shorthair,11,Senior,C037
P004968,CU14049,Perro,Gran Danés,5,Adulto,C042
P004969,CU03171,Gato,British Shorthair,4,Adulto,C007
P004970,CU03422,Exótico,Iguana,6,Adulto,C013
P004971,CU17002,Perro,Pastor Australiano,1,Joven,C037
P004972,CU13363,Perro,Caniche,8,Adulto,C032
P004973,CU16607,Perro,Caniche,3,Adulto,C003
P004974,CU10944,Exótico,Conejo,6,Adulto,C031
P004975,CU14064,Perro,Boston Terrier,2,Joven,C003
P004976,CU00738,Perro,Boyero de Berna,2,Joven,C018
P004977,CU12322,Gato,Persa,7,Adulto,C039
P004978,CU00245,Perro,Pomerania,7,Adulto,C019
P004979,CU11244,Perro,Shih Tzu,8,Adulto,C036
P004980,CU13416,Perro,Caniche,7,Adulto,C024
P004981,CU00895,Perro,Rottweiler,3,Adulto,C013
P004982,CU08506,Exótico,Iguana,3,Adulto,C010
P004983,CU13375,Gato,Bosque de Noruega,7,Adulto,C033
P004984,CU10656,Gato,Ragdoll,4,Adulto,C006
P004985,CU13032,Perro,Cocker Spaniel,0,Joven,C004
P004986,CU12864,Perro,Basset Hound,7,Adulto,C011
P004987,CU09398,Perro,Boyero de Berna,2,Joven,C017
P004988,CU11223,Gato,Azul Ruso,2,Joven,C036
P004989,CU13341,Perro,Shih Tzu,2,Joven,C045
P004990,CU14679,Perro,Golden Retriever,8,Adulto,C043
P004991,CU09559,Perro,Rottweiler,6,Adulto,C017
P004992,CU11622,Gato,Birmano,7,Adulto,C026
P004993,CU14246,Perro,Caniche,3,Adulto,C022
P004994,CU17207,Exótico,Loro,2,Joven,C039
P004995,CU12524,Exótico,Chinchilla,6,Adulto,C018
P004996,CU12017,Gato,Scottish Fold,5,Adulto,C005
P004997,CU11966,Gato,Bengalí,5,Adulto,C021
P004998,CU13016,Perro,Caniche,4,Adulto,C027
P004999,CU05784,Perro,Boyero de Berna,8,Adulto,C010
P005000,CU16156,Perro,Dachshund,1,Joven,C021
P005001,CU11770,Perro,Boyero de Berna,0,Joven,C026
P005002,CU15592,Gato,Birmano,1,Joven,C016
P005003,CU02493,Exótico,Cobaya,6,Adulto,C044
P005004,CU15244,Perro,Rottweiler,2,Joven,C003
P005005,CU04657,Gato,Birmano,4,Adulto,C045
P005006,CU16009,Exótico,Conejo,9,Senior,C040
P005007,CU17512,Perro,Cocker Spaniel,4,Adulto,C023
P005008,CU01179,Perro,San Bernardo,9,Senior,C037
P005009,CU02725,Perro,Pastor Australiano,12,Senior,C010
P005010,CU17029,Gato,Devon Rex,1,Joven,C025
P005011,CU04321,Exótico,Conejo,5,Adulto,C009
P005012,CU10715,Perro,Dachshund,2,Joven,C046
P005013,CU17936,Perro,Shih Tzu,5,Adulto,C041
P005014,CU01717,Perro,Golden Retriever,3,Adulto,C009
P005015,CU09395,Perro,Pastor Australiano,8,Adulto,C015
P005016,CU03979,Gato,Scottish Fold,6,Adulto,C041
P005017,CU03375,Perro,Caniche,8,Adulto,C001
P005018,CU02771,Perro,Border Collie,3,Adulto,C024
P005019,CU03607,Gato,Devon Rex,2,Joven,C015
P005020,CU02426,Gato,Birmano,3,Adulto,C023
P005021,CU00398,Gato,Azul Ruso,8,Adulto,C008
P005022,CU03372,Perro,Pastor Alemán,5,Adulto,C042
P005023,CU17097,Gato,Maine Coon,12,Senior,C018
P005024,CU07650,Perro,Bóxer,3,Adulto,C019
P005025,CU04113,Exótico,Cacatúa Ninfa,2,Joven,C050
P005026,CU08776,Gato,Oriental de Pelo Corto,5,Adulto,C010
P005027,CU10568,Perro,San Bernardo,5,Adulto,C037
P005028,CU13267,Exótico,Hámster,1,Joven,C033
P005029,CU16641,Exótico,Gecko,6,Adulto,C044
P005030,CU02206,Gato,Ragdoll,9,Senior,C018
P005031,CU04380,Gato,Azul Ruso,4,Adulto,C009
P005032,CU09709,Exótico,Cacatúa Ninfa,6,Adulto,C004
P005033,CU14221,Gato,Bosque de Noruega,7,Adulto,C026
P005034,CU15866,Perro,Boyero de Berna,14,Senior,C040
P005035,CU13493,Perro,Beagle,7,Adulto,C047
P005036,CU07392,Perro,San Bernardo,5,Adulto,C020
P005037,CU17784,Exótico,Tortuga,7,Adulto,C048
P005038,CU16937,Perro,Labrador Retriever,0,Joven,C030
P005039,CU05109,Perro,Boston Terrier,4,Adulto,C016
P005040,CU13209,Perro,Maltés,6,Adulto,C047
P005041,CU11728,Perro,Rottweiler,3,Adulto,C021
P005042,CU12601,Gato,Bengalí,6,Adulto,C039
P005043,CU15740,Gato,Birmano,8,Adulto,C010
P005044,CU05576,Gato,Maine Coon,3,Adulto,C037
P005045,CU14919,Exótico,Cobaya,6,Adulto,C032
P005046,CU04619,Gato,Gato Doméstico de Pelo Corto,4,Adulto,C013
P005047,CU04258,Exótico,Cobaya,3,Adulto,C048
P005048,CU13238,Gato,Gato Doméstico de Pelo Corto,4,Adulto,C041
P005049,CU03888,Perro,Maltés,5,Adulto,C035
P005050,CU03366,Perro,Border Collie,0,Joven,C012
P005051,CU03734,Perro,Border Collie,0,Joven,C019
P005052,CU16521,Perro,Labrador Retriever,5,Adulto,C027
P005053,CU09346,Gato,Abisinio,0,Joven,C015
P005054,CU08326,Gato,Bengalí,4,Adulto,C019
P005055,CU11685,Perro,Bulldog Francés,9,Senior,C041
P005056,CU10920,Exótico,Loro,3,Adulto,C004
P005057,CU17626,Perro,Dachshund,7,Adulto,C041
P005058,CU02281,Perro,Boston Terrier,7,Adulto,C024
P005059,CU09301,Perro,Basset Hound,7,Adulto,C031
P005060,CU12151,Perro,Border Collie,0,Joven,C005
P005061,CU02933,Gato,Scottish Fold,5,Adulto,C018
P005062,CU14408,Perro,Rottweiler,5,Adulto,C015
P005063,CU16403,Perro,Cocker Spaniel,11,Senior,C035
P005064,CU08635,Perro,Husky Siberiano,2,Joven,C045
P005065,CU13711,Perro,Cocker Spaniel,4,Adulto,C006
P005066,CU08216,Gato,Sphynx,7,Adulto,C006
P005067,CU03702,Gato,Bosque de Noruega,9,Senior,C031
P005068,CU02557,Gato,Ragdoll,6,Adulto,C012
P005069,CU09859,Perro,Dachshund,6,Adulto,C002
P005070,CU07414,Perro,Pastor Alemán,1,Joven,C041
P005071,CU11088,Perro,Akita,4,Adulto,C004
P005072,CU09419,Perro,Maltés,5,Adulto,C027
P005073,CU14437,Perro,Chihuahua,1,Joven,C048
P005074,CU03363,Perro,Chihuahua,7,Adulto,C024
P005075,CU17485,Gato,Birmano,4,Adulto,C006
P005076,CU16307,Gato,Devon Rex,10,Senior,C045
P005077,CU15253,Perro,Doberman,4,Adulto,C034
P005078,CU14467,Perro,Maltés,9,Senior,C046
P005079,CU04985,Perro,Rottweiler,2,Joven,C037
P005080,CU00900,Perro,Pomerania,4,Adulto,C015
P005081,CU17886,Gato,Birmano,5,Adulto,C028
P005082,CU09181,Gato,Oriental de Pelo Corto,6,Adulto,C011
P005083,CU17138,Perro,Husky Siberiano,4,Adulto,C020
P005084,CU04930,Perro,Dachshund,2,Joven,C049
P005085,CU05814,Perro,Basset Hound,4,Adulto,C016
P005086,CU07161,Gato,Oriental de Pelo Corto,4,Adulto,C020
P005087,CU05084,Perro,Caniche,7,Adulto,C038
P005088,CU07596,Perro,Pastor Alemán,4,Adulto,C045
P005089,CU02388,Perro,Border Collie,8,Adulto,C050
P005090,CU01352,Gato,Oriental de Pelo Corto,6,Adulto,C005
P005091,CU05311,Perro,Beagle,10,Senior,C028
P005092,CU11020,Perro,Gran Danés,3,Adulto,C006
P005093,CU13909,Perro,Chihuahua,4,Adulto,C041
P005094,CU01831,Gato,Siamés,2,Joven,C037
P005095,CU14433,Exótico,Chinchilla,8,Adulto,C041
P005096,CU15043,Perro,Pomerania,2,Joven,C026
P005097,CU07478,Gato,Devon Rex,5,Adulto,C046
P005098,CU04407,Perro,Gran Danés,1,Joven,C012
P005099,CU07592,Gato,British Shorthair,0,Joven,C050
P005100,CU03512,Perro,Bulldog Francés,4,Adulto,C017
P005101,CU09093,Perro,Bóxer,5,Adulto,C005
P005102,CU11160,Gato,Scottish Fold,1,Joven,C044
P005103,CU02649,Perro,Shih Tzu,8,Adulto,C027
P005104,CU07117,Exótico,Hurón,10,Senior,C035
P005105,CU06879,Perro,Doberman,2,Joven,C037
P005106,CU09564,Perro,Gran Danés,10,Senior,C009
P005107,CU07694,Perro,San Bernardo,4,Adulto,C018
P005108,CU15206,Perro,Beagle,6,Adulto,C016
P005109,CU14282,Gato,Azul Ruso,4,Adulto,C027
P005110,CU15988,Perro,Dachshund,6,Adulto,C042
P005111,CU14908,Perro,Pomerania,3,Adulto,C024
P005112,CU10561,Gato,Devon Rex,6,Adulto,C014
P005113,CU02802,Exótico,Cacatúa Ninfa,3,Adulto,C040
P005114,CU15300,Perro,Labrador Retriever,5,Adulto,C039
P005115,CU02698,Perro,Pastor Australiano,5,Adulto,C016
P005116,CU07543,Perro,Pomerania,5,Adulto,C044
P005117,CU07219,Perro,Shih Tzu,8,Adulto,C026
P005118,CU15589,Gato,Scottish Fold,7,Adulto,C004
P005119,CU09971,Gato,Bosque de Noruega,8,Adulto,C034
P005120,CU03516,Gato,Maine Coon,0,Joven,C011
P005121,CU11058,Gato,Birmano,4,Adulto,C049
P005122,CU09955,Perro,Bulldog Francés,1,Joven,C038
P005123,CU02713,Gato,Oriental de Pelo Corto,5,Adulto,C008
P005124,CU15798,Perro,Bóxer,6,Adulto,C009
P005125,CU08356,Perro,Husky Siberiano,6,Adulto,C021
P005126,CU10214,Gato,Azul Ruso,2,Joven,C028
P005127,CU11463,Gato,Birmano,9,Senior,C034
P005128,CU00209,Perro,Pastor Alemán,5,Adulto,C036
P005129,CU14827,Perro,San Bernardo,5,Adulto,C021
P005130,CU01618,Perro,Pomerania,8,Adulto,C024
P005131,CU11356,Gato,Azul Ruso,1,Joven,C028
P005132,CU15597,Perro,Basset Hound,6,Adulto,C006
P005133,CU12189,Perro,Akita,0,Joven,C015
P005134,CU01094,Perro,Doberman,4,Adulto,C043
P005135,CU10547,Exótico,Hurón,0,Joven,C037
P005136,CU17427,Perro,Pastor Alemán,6,Adulto,C046
P005137,CU17926,Gato,Sphynx,6,Adulto,C033
P005138,CU16154,Perro,Pastor Australiano,2,Joven,C042
P005139,CU05979,Perro,Golden Retriever,7,Adulto,C026
P005140,CU02499,Perro,Labrador Retriever,5,Adulto,C022
P005141,CU03089,Perro,Pomerania,9,Senior,C039
P005142,CU16772,Perro,Pomerania,3,Adulto,C005
P005143,CU04062,Gato,Siamés,7,Adulto,C042
P005144,CU08641,Perro,Bulldog Francés,0,Joven,C028
P005145,CU07076,Perro,Maltés,3,Adulto,C016
P005146,CU04984,Exótico,Hámster,2,Joven,C027
P005147,CU10499,Gato,Oriental de Pelo Corto,10,Senior,C028
P005148,CU03509,Perro,Beagle,4,Adulto,C003
P005149,CU15239,Perro,Golden Retriever,8,Adulto,C030
P005150,CU05800,Gato,Bosque de Noruega,1,Joven,C039
P005151,CU01531,Perro,Basset Hound,7,Adulto,C040
P005152,CU07224,Perro,Pomerania,0,Joven,C016
P005153,CU16586,Gato,Gato Doméstico de Pelo Corto,5,Adulto,C050
P005154,CU12023,Gato,Siamés,5,Adulto,C016
P005155,CU03384,Perro,Husky Siberiano,0,Joven,C028
P005156,CU08824,Perro,Pomerania,4,Adulto,C030
P005157,CU17448,Perro,Caniche,7,Adulto,C036
P005158,CU12163,Perro,Cocker Spaniel,6,Adulto,C048
P005159,CU09775,Gato,Gato Doméstico de Pelo Corto,4,Adulto,C046
P005160,CU01364,Perro,Labrador Retriever,8,Adulto,C045
P005161,CU13102,Exótico,Loro,4,Adulto,C022
P005162,CU16567,Perro,Pomerania,2,Joven,C048
P005163,CU16909,Exótico,Erizo,0,Joven,C015
P005164,CU09774,Perro,Pastor Australiano,2,Joven,C043
P005165,CU03942,Exótico,Hurón,7,Adulto,C025
P005166,CU13278,Perro,Bulldog Francés,3,Adulto,C008
P005167,CU16412,Gato,Birmano,7,Adulto,C005
P005168,CU04654,Perro,Bulldog,7,Adulto,C011
P005169,CU12505,Gato,Devon Rex,3,Adulto,C005
P005170,CU03344,Perro,Maltés,3,Adulto,C043
P005171,CU11793,Perro,Maltés,12,Senior,C020
P005172,CU07414,Perro,Pastor Australiano,2,Joven,C031
P005173,CU17970,Exótico,Serpiente,8,Adulto,C044
P005174,CU02535,Perro,Boyero de Berna,0,Joven,C050
P005175,CU08264,Perro,Chihuahua,10,Senior,C034
P005176,CU01954,Exótico,Serpiente,0,Joven,C030
P005177,CU11446,Perro,Doberman,3,Adulto,C016
P005178,CU17946,Perro,Labrador Retriever,3,Adulto,C042
P005179,CU05561,Perro,Husky Siberiano,7,Adulto,C043
P005180,CU04086,Gato,Siamés,4,Adulto,C023
P005181,CU09083,Perro,San Bernardo,3,Adulto,C035
P005182,CU14915,Perro,San Bernardo,0,Joven,C038
P005183,CU13649,Gato,Abisinio,8,Adulto,C045
P005184,CU14205,Perro,Maltés,5,Adulto,C013
P005185,CU05486,Perro,Labrador Retriever,5,Adulto,C038
P005186,CU14693,Perro,Golden Retriever,5,Adulto,C020
P005187,CU08142,Gato,Maine Coon,3,Adulto,C041
P005188,CU08131,Perro,Bóxer,1,Joven,C033
P005189,CU02560,Perro,Caniche,9,Senior,C032
P005190,CU16376,Gato,Persa,7,Adulto,C016
P005191,CU03070,Perro,Shih Tzu,1,Joven,C035
P005192,CU11870,Gato,Gato Doméstico de Pelo Corto,3,Adulto,C026
P005193,CU05238,Perro,Basset Hound,1,Joven,C035
P005194,CU13068,Perro,Shih Tzu,3,Adulto,C037
P005195,CU09004,Perro,Beagle,4,Adulto,C042
P005196,CU11638,Gato,Abisinio,5,Adulto,C013
P005197,CU01372,Perro,Border Collie,6,Adulto,C032
P005198,CU04325,Gato,Maine Coon,8,Adulto,C018
P005199,CU05335,Perro,Border Collie,6,Adulto,C019
P005200,CU12915,Perro,Dachshund,7,Adulto,C021
P005201,CU06681,Perro,Pastor Australiano,2,Joven,C023
P005202,CU02939,Perro,Akita,5,Adulto,C049
P005203,CU06188,Gato,Oriental de Pelo Corto,7,Adulto,C038
P005204,CU17306,Gato,Ragdoll,5,Adulto,C003
P005205,CU05530,Perro,Chihuahua,5,Adulto,C038
P005206,CU17845,Gato,Maine Coon,5,Adulto,C008
P005207,CU10286,Exótico,Loro,1,Joven,C013
P005208,CU13707,Perro,Border Collie,2,Joven,C042
P005209,CU17615,Perro,Bulldog Francés,6,Adulto,C018
P005210,CU02431,Perro,Husky Siberiano,5,Adulto,C022
P005211,CU17641,Gato,Bengalí,1,Joven,C050
P005212,CU14009,Exótico,Cobaya,4,Adulto,C045
P005213,CU02959,Gato,Ragdoll,13,Senior,C028
P005214,CU07054,Exótico,Iguana,3,Adulto,C042
P005215,CU02534,Perro,Boyero de Berna,3,Adulto,C021
P005216,CU16869,Perro,Bóxer,2,Joven,C021
P005217,CU04288,Perro,Chihuahua,7,Adulto,C046
P005218,CU12311,Gato,Oriental de Pelo Corto,4,Adulto,C009
P005219,CU10237,Exótico,Conejo,5,Adulto,C018
P005220,CU15391,Gato,Persa,8,Adulto,C028
P005221,CU01029,Perro,Pastor Australiano,8,Adulto,C027
P005222,CU06279,Perro,Boston Terrier,5,Adulto,C008
P005223,CU04709,Perro,Boyero de Berna,4,Adulto,C002
P005224,CU04911,Perro,Bulldog,4,Adulto,C045
P005225,CU07938,Gato,Siamés,4,Adulto,C014
P005226,CU06175,Gato,Bengalí,4,Adulto,C022
P005227,CU17723,Perro,Pomerania,10,Senior,C044
P005228,CU10353,Gato,Devon Rex,6,Adulto,C019
P005229,CU16849,Gato,Oriental de Pelo Corto,7,Adulto,C035
P005230,CU09828,Perro,Golden Retriever,7,Adulto,C009
P005231,CU06845,Perro,Shih Tzu,4,Adulto,C004
P005232,CU07637,Perro,Golden Retriever,2,Joven,C014
P005233,CU15238,Perro,Husky Siberiano,7,Adulto,C019
P005234,CU15436,Perro,Border Collie,0,Joven,C049
P005235,CU06495,Perro,Boston Terrier,4,Adulto,C029
P005236,CU06611,Perro,Bulldog,4,Adulto,C026
P005237,CU06884,Perro,Golden Retriever,4,Adulto,C047
P005238,CU01067,Perro,Doberman,6,Adulto,C038
P005239,CU16669,Perro,Pomerania,7,Adulto,C041
P005240,CU06139,Exótico,Gecko,6,Adulto,C031
P005241,CU10499,Gato,Maine Coon,6,Adulto,C021
P005242,CU07788,Gato,Sphynx,2,Joven,C034
P005243,CU00082,Perro,Chihuahua,5,Adulto,C050
P005244,CU10944,Gato,Scottish Fold,4,Adulto,C023
P005245,CU04649,Perro,Basset Hound,6,Adulto,C049
P005246,CU12875,Perro,Gran Danés,6,Adulto,C039
P005247,CU04545,Gato,Abisinio,4,Adulto,C040
P005248,CU17760,Perro,Boston Terrier,3,Adulto,C031
P005249,CU13156,Gato,British Shorthair,3,Adulto,C023
P005250,CU02548,Perro,Cocker Spaniel,1,Joven,C012
P005251,CU02237,Gato,Siamés,2,Joven,C021
P005252,CU10627,Perro,Basset Hound,0,Joven,C017
P005253,CU08665,Perro,Shih Tzu,4,Adulto,C026
P005254,CU17760,Perro,Chihuahua,6,Adulto,C013
P005255,CU03263,Exótico,Serpiente,0,Joven,C015
P005256,CU10574,Perro,Pastor Australiano,4,Adulto,C040
P005257,CU03534,Exótico,Erizo,3,Adulto,C047
P005258,CU03905,Perro,Labrador Retriever,3,Adulto,C022
P005259,CU13046,Gato,Gato Doméstico de Pelo Corto,6,Adulto,C015
P005260,CU06578,Perro,Pastor Alemán,3,Adulto,C011
P005261,CU16443,Perro,Beagle,8,Adulto,C022
P005262,CU13634,Perro,Rottweiler,3,Adulto,C029
P005263,CU00876,Perro,Border Collie,7,Adulto,C033
P005264,CU14371,Gato,Ragdoll,3,Adulto,C003
P005265,CU13251,Perro,Basset Hound,6,Adulto,C049
P005266,CU03547,Gato,Azul Ruso,5,Adulto,C040
P005267,CU17382,Perro,Bulldog Francés,10,Senior,C045
P005268,CU13398,Gato,Bengalí,1,Joven,C041
P005269,CU15836,Exótico,Erizo,6,Adulto,C025
P005270,CU12661,Perro,Bóxer,4,Adulto,C016
P005271,CU11228,Perro,Maltés,13,Senior,C049
P005272,CU03146,Exótico,Serpiente,8,Adulto,C027
P005273,CU07560,Perro,Maltés,1,Joven,C021
P005274,CU02253,Gato,British Shorthair,3,Adulto,C046
P005275,CU07554,Perro,Bóxer,0,Joven,C015
P005276,CU03916,Perro,Basset Hound,8,Adulto,C044
P005277,CU01678,Perro,Golden Retriever,6,Adulto,C007
P005278,CU12149,Gato,Siamés,7,Adulto,C010
P005279,CU04588,Perro,Border Collie,7,Adulto,C007
P005280,CU13783,Perro,Labrador Retriever,5,Adulto,C047
P005281,CU10753,Gato,Bosque de Noruega,5,Adulto,C003
P005282,CU08004,Perro,Doberman,4,Adulto,C024
P005283,CU11825,Perro,Maltés,7,Adulto,C028
P005284,CU04313,Perro,Rottweiler,8,Adulto,C036
P005285,CU15829,Perro,Boston Terrier,2,Joven,C009
P005286,CU01952,Gato,Bengalí,3,Adulto,C009
P005287,CU08986,Perro,Maltés,3,Adulto,C015
P005288,CU03275,Perro,Shih Tzu,4,Adulto,C002
P005289,CU15152,Perro,Caniche,5,Adulto,C020
P005290,CU17621,Perro,Pastor Australiano,9,Senior,C043
P005291,CU13985,Perro,Gran Danés,7,Adulto,C039
P005292,CU02303,Gato,Scottish Fold,5,Adulto,C043
P005293,CU17172,Exótico,Loro,2,Joven,C035
P005294,CU14531,Perro,Beagle,4,Adulto,C002
P005295,CU13337,Perro,Boyero de Berna,5,Adulto,C023
P005296,CU12881,Perro,Labrador Retriever,3,Adulto,C040
P005297,CU14413,Perro,Cocker Spaniel,8,Adulto,C003
P005298,CU02436,Gato,Oriental de Pelo Corto,2,Joven,C027
P005299,CU03387,Gato,Abisinio,9,Senior,C009
P005300,CU02940,Perro,San Bernardo,9,Senior,C003
P005301,CU16560,Gato,Azul Ruso,6,Adulto,C042
P005302,CU12044,Perro,Bulldog,0,Joven,C046
P005303,CU12003,Gato,Sphynx,6,Adulto,C022
P005304,CU03311,Perro,Rottweiler,4,Adulto,C004
P005305,CU12805,Exótico,Hámster,5,Adulto,C005
P005306,CU10235,Perro,Caniche,9,Senior,C043
P005307,CU14138,Perro,Caniche,3,Adulto,C047
P005308,CU00651,Perro,Chihuahua,6,Adulto,C050
P005309,CU16313,Gato,Bosque de Noruega,7,Adulto,C016
P005310,CU01203,Perro,Gran Danés,5,Adulto,C025
P005311,CU08506,Gato,Siamés,5,Adulto,C041
P005312,CU03683,Perro,Boston Terrier,2,Joven,C026
P005313,CU13560,Perro,Golden Retriever,2,Joven,C036
P005314,CU17503,Exótico,Loro,5,Adulto,C005
P005315,CU12974,Perro,Border Collie,5,Adulto,C003
P005316,CU13920,Perro,Akita,4,Adulto,C025
P005317,CU04722,Exótico,Erizo,5,Adulto,C004
P005318,CU01919,Gato,Azul Ruso,7,Adulto,C048
P005319,CU17712,Gato,Sphynx,3,Adulto,C031
P005320,CU00761,Gato,Azul Ruso,6,Adulto,C031
P005321,CU09348,Gato,Scottish Fold,10,Senior,C008
P005322,CU12064,Perro,Basset Hound,6,Adulto,C005
P005323,CU17266,Perro,Pastor Alemán,2,Joven,C028
P005324,CU14387,Gato,Azul Ruso,5,Adulto,C050
P005325,CU03164,Gato,Maine Coon,5,Adulto,C016
P005326,CU14457,Perro,Boston Terrier,6,Adulto,C048
P005327,CU15226,Gato,Devon Rex,0,Joven,C005
P005328,CU07088,Exótico,Cobaya,4,Adulto,C015
P005329,CU06619,Gato,Bosque de Noruega,8,Adulto,C022
P005330,CU09540,Perro,Maltés,8,Adulto,C009
P005331,CU13247,Perro,Bulldog Francés,6,Adulto,C045
P005332,CU02038,Exótico,Serpiente,7,Adulto,C007
P005333,CU01437,Gato,Maine Coon,3,Adulto,C022
P005334,CU04844,Gato,British Shorthair,0,Joven,C049
P005335,CU04953,Exótico,Cobaya,4,Adulto,C020
P005336,CU08524,Perro,Husky Siberiano,6,Adulto,C005
P005337,CU01853,Perro,Doberman,4,Adulto,C043
P005338,CU01312,Exótico,Conejo,11,Senior,C031
P005339,CU07789,Gato,Scottish Fold,1,Joven,C029
P005340,CU16798,Perro,Beagle,5,Adulto,C017
P005341,CU12310,Perro,Boyero de Berna,4,Adulto,C017
P005342,CU11859,Gato,Oriental de Pelo Corto,9,Senior,C025
P005343,CU09920,Gato,Maine Coon,4,Adulto,C039
P005344,CU13058,Perro,Border Collie,3,Adulto,C032
P005345,CU00206,Perro,Maltés,5,Adulto,C024
P005346,CU11205,Gato,Bengalí,12,Senior,C013
P005347,CU01872,Gato,Ragdoll,2,Joven,C038
P005348,CU02336,Perro,Husky Siberiano,4,Adulto,C027
P005349,CU05986,Perro,Labrador Retriever,6,Adulto,C028
P005350,CU10604,Perro,San Bernardo,3,Adulto,C020
P005351,CU13532,Gato,Sphynx,6,Adulto,C009
P005352,CU07940,Perro,Pastor Alemán,11,Senior,C041
P005353,CU14272,Perro,Maltés,5,Adulto,C026
P005354,CU16133,Exótico,Hurón,3,Adulto,C047
P005355,CU04451,Gato,British Shorthair,6,Adulto,C048
P005356,CU08750,Perro,Boyero de Berna,7,Adulto,C004
P005357,CU01995,Gato,Persa,2,Joven,C005
P005358,CU03993,Perro,Husky Siberiano,2,Joven,C024
P005359,CU03518,Perro,Beagle,7,Adulto,C042
P005360,CU13129,Gato,Persa,6,Adulto,C013
P005361,CU13627,Perro,Pomerania,8,Adulto,C005
P005362,CU10674,Perro,Dachshund,5,Adulto,C024
P005363,CU07764,Gato,Oriental de Pelo Corto,6,Adulto,C007
P005364,CU14138,Perro,Dachshund,3,Adulto,C041
P005365,CU17371,Gato,Devon Rex,6,Adulto,C038
P005366,CU03581,Perro,Rottweiler,7,Adulto,C009
P005367,CU14593,Perro,Basset Hound,1,Joven,C041
P005368,CU03098,Gato,Devon Rex,0,Joven,C048
P005369,CU01625,Exótico,Tortuga,7,Adulto,C006
P005370,CU08991,Gato,Azul Ruso,3,Adulto,C050
P005371,CU05137,Perro,Pomerania,8,Adulto,C040
P005372,CU01822,Perro,Dachshund,2,Joven,C050
P005373,CU15483,Perro,Labrador Retriever,2,Joven,C007
P005374,CU06264,Perro,Labrador Retriever,11,Senior,C034
P005375,CU05163,Exótico,Loro,4,Adulto,C038
P005376,CU14219,Gato,Gato Doméstico de Pelo Corto,3,Adulto,C014
P005377,CU01402,Gato,Bengalí,6,Adulto,C040
P005378,CU16042,Gato,Birmano,7,Adulto,C009
P005379,CU10355,Gato,Gato Doméstico de Pelo Corto,5,Adulto,C048
P005380,CU01020,Perro,Bulldog,4,Adulto,C037
P005381,CU09450,Gato,Scottish Fold,0,Joven,C006
P005382,CU00706,Gato,Maine Coon,6,Adulto,C015
P005383,CU02485,Gato,Ragdoll,9,Senior,C046
P005384,CU13975,Gato,Oriental de Pelo Corto,3,Adulto,C010
P005385,CU09526,Gato,Ragdoll,6,Adulto,C015
P005386,CU01346,Gato,Devon Rex,11,Senior,C017
P005387,CU09748,Exótico,Conejo,5,Adulto,C012
P005388,CU14650,Exótico,Tortuga,11,Senior,C008
P005389,CU03034,Gato,Birmano,2,Joven,C003
P005390,CU15719,Perro,Golden Retriever,7,Adulto,C041
P005391,CU14135,Gato,Maine Coon,4,Adulto,C013
P005392,CU08868,Perro,Doberman,10,Senior,C012
P005393,CU00060,Perro,Rottweiler,0,Joven,C034
P005394,CU05687,Perro,Rottweiler,4,Adulto,C003
P005395,CU12889,Exótico,Hámster,8,Adulto,C038
P005396,CU05438,Perro,Beagle,1,Joven,C023
P005397,CU12278,Perro,Shih Tzu,1,Joven,C048
P005398,CU02383,Perro,Cocker Spaniel,7,Adulto,C002
P005399,CU04359,Perro,Boston Terrier,9,Senior,C033
P005400,CU04302,Perro,Boyero de Berna,7,Adulto,C005
P005401,CU10447,Gato,Abisinio,10,Senior,C035
